GroundTruth_Tri_Label	||Prediction_Tri_Label	||Trigger	||GroundTruth_Ant_Label	||Prediction_Ant_Lable	||Antecedent	||Test_Instance
1	||1	||was	||0	||0	||about as expected	||The LME stocks decline was about as expected , but the Comex gain was n't .
1	||1	||do	||0	||1	||had been experiencing softening margins because of increased sales of software applications , which have lower margins than do operating systems	||The company had been experiencing softening margins because of increased sales of software applications , which have lower margins than do operating systems . But the company said that trend was offset in the first quarter by better economies of scale and efficiencies in manufacturing .
1	||1	||did	||1	||1	||report much less robust earnings 	||Major oil companies in the next few days are expected to report much less robust earnings than they did for the third quarter a year ago , largely reflecting deteriorating chemical prices and gasoline profitability . The gasoline picture may improve this quarter , but chemicals are likely to remain weak , industry executives and analysts say , reducing chances that profits could equal their year-earlier performance .
1	||1	||will	||0	||1	||become a tad more cautious -- well	||Surveys suggested that consumer confidence was high before Friday . A 190-point drop is n't likely to make much of a dent ; multiply that a few times over , though , and it will . If the reactions of executives gathered Saturday at Hot Springs , Va. , for the Business Council meetings are typical , business leaders were n't overly rattled by Friday 's decline . And if foreign investors become a tad more cautious -- well , the dollar 's recent strength suggests that the U.S. can stand it .
1	||1	||are	||1	||1	||MAKING a comeback 	||IOWA IS MAKING a comeback . So are Indiana , Ohio and Michigan . The population of all four states is on the upswing , according to new Census Bureau estimates , following declines throughout the early 1980s .
1	||1	||do	||0	||1	||does not prohibit any use of territorial rating	||Mr. Zycher also criticizes 103 's requirement that auto-insurance rates be based primarily on a motorist 's safety record and driving habits rather than upon zip code . Proposition 103 does not prohibit any use of territorial rating , but requires insurers to justify it scientifically . So far , they 've been unable to do so .
1	||1	||do	||0	||1	||to catch up on dividends in arrears about $ 6 million	||The energy-services concern said , however , that in January 1990 , it may resume payments of dividends on the preferred stock . Weatherford suspended its preferred-dividend payment in October 1985 and said it has n't any plans to catch up on dividends in arrears about $ 6 million , but will do so some time in the future .
1	||1	||does	||0	||1	||successful	||Sony found a new market niche , but Mr. Kaye figured that its prices left plenty of room for a lower-priced competitor . His products are n't exact copies of Sony 's but strongly resemble them in size , shape and , especially , color . Sony uses mostly red and blue , with traces of yellow -- and so does Justin , on the theory that kids prefer these colors . ( `` To be successful , a product can be any color whatsoever , as long as it is fire-engine red , '' says Charles E. Baxley , Justin 's attorney . )
1	||1	||did	||0	||0	||stood to gain in the initial transaction	||When bank financing for the buy-out collapsed last week , so did UAL 's stock . Even if the banks resurrect a financing package at $ 250 a share , the two executives would still get about $ 25 million less than they stood to gain in the initial transaction .
1	||1	||were	||1	||1	||yielding a tenth of a percentage point less 	||Some banks actually boosted yields on the shortest term CDs in the latest week . New York 's Citibank , for instance , increased the yield on small-denomination three-month CDs to 8 % from 7.9 % . On average , however , three-month CDs at major banks are yielding a tenth of a percentage point less than they were a week ago .
1	||1	||can	||1	||1	||say 	||Mr. Wertheimer based this on a statement by Mr. Keating that was quoted in a Wall Street Journal story in April : `` One question ... had to do with whether my financial support in any way influenced several political figures to take up my cause . I want to say in the most forceful way I can : I certainly hope so . ''
1	||1	||did	||1	||1	||offered fewer of them 	||But the magazine was slower than its competitors to come up with its regional editions , and until last year offered fewer of them than did competitors . Time magazine , for example , has more than 100 separate editions going to different regions , top management , and other groups .
1	||1	||did	||0	||1	||painful	||The past two trading days , while painful , have n't been as disastrous for the arbs as the October 1987 market crash because takeover-related stocks have n't dropped as sharply as they did two years ago , and traders are n't as deeply in debt as they were then .
1	||1	||do	||0	||0	||to simmer	||As Elizabeth Kristol wrote in the New York Times just before the Mason donnybrook , `` Perhaps intolerance would not boil over with such intensity if honest differences were allowed to simmer . '' The question is , if group conflicts still exist ( as undeniably they do ) , and if Mr. Mason 's type of ethnic humor is passe , then what other means do we have for letting off steam ?
0	||1	||be	||0	||0	||be weak as well	||Recent order rates indicate that the fourth quarter , a time shipments usually pick up , will be weak as well . Merrill Lynch 's Mr. Bradford said , `` We have n't seen the pickup in flat rolled orders that we should have . '' Flat rolled steel is the industry 's major product .
1	||1	||did	||0	||0	||preparing to make capital available to dealers if needed , as it did in the 1987 crash , according to people familiar with the bank 's strategy	||Authorities , including the Bank of England and the Securities Association , are gearing up in case a crisis wallops the London market . The bank was in touch with other major central banks over the weekend and was preparing to make capital available to dealers if needed , as it did in the 1987 crash , according to people familiar with the bank 's strategy .
1	||1	||to	||0	||0	||were plotting out potential new ad strategies	||PaineWebber Inc. filmed a new television commercial at 4 p.m. EDT yesterday and had it on the air by last night . Fidelity Investments placed new ads in newspapers yesterday , and wrote another new ad appearing today . Shearson Lehman Hutton Inc. by yesterday afternoon had already written new TV ads . It considered running them during tomorrow night 's World Series broadcast but decided not to when the market recovered yesterday . Other brokerage firms , including Merrill Lynch & Co. , were plotting out potential new ad strategies .
1	||1	||did	||0	||1	||improve this quarter	||Major oil companies in the next few days are expected to report much less robust earnings than they did for the third quarter a year ago , largely reflecting deteriorating chemical prices and gasoline profitability . The gasoline picture may improve this quarter , but chemicals are likely to remain weak , industry executives and analysts say , reducing chances that profits could equal their year-earlier performance .
